,smilles  ,molecularforma,ROMol
0,FC(F)(F)C1=CC(NC2=C3C=CC=CC3=NC=N2)=CC=C1,C15H10F3N3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3e60>
1,CC(=O)NC1=CC(NC2=NC(=NC3=CC=CC=C23)C2=CC=CC=C2)=CC=C1,C22H18N4O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3bc0>
2,CC(=O)NC1=CC(NC2=NC(=NC3=CC=CC=C23)C2=CC=CC=C2F)=CC=C1,C22H17FN4O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3b50>
3,CCN(C1=CC=CC=C1)C1=CC(NC)=[N+](C)C(C)=N1,C15H21N4+,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3ae0>
4,CCCN(CC1CC1)C1=NC(C)=NC(NC2=C(Cl)C=C(Cl)C=C2Cl)=C1Cl,C18H20Cl4N4,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3a70>
5,FC(F)(F)C1=CC(NC2=NC(=NC(=N2)N2CCCC2)N2CCCC2)=CC=C1,C18H21F3N6,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3a00>
6,CN(C)C1=CC=CC(=C1)C1=NC=CC(=N1)N1CCC(CC1)C(N)=O,C18H23N5O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3990>
7,BrC1=CC=CC(NC2=C3C=C(NC(=O)C=C)C=CC3=NC=N2)=C1,C17H13BrN4O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3920>
8,CCC(=O)NC1=CC(NC2=NC3=C(C=NN3C(NC3CC3)=C2)C#N)=CC=C1C,C20H21N7O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a38b0>
9,CN1C2=CC=CC=C2C(=O)N(C)C2=CN=C(NC3=CC=C(C=C3)N3CCC(O)CC3)N=C12,C24H26N6O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3840>
10,O=C(NC1=CC=C(NC2=CC=CC=C2)C=C1)C1CC1,C16H16N2O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a37d0>
11,CC(=O)NC1=CC=C(NC2=NC=C(C(NC3=CC=C(NC(C)=O)C=C3)=N2)[N+]([O-])=O)C=C1,C20H19N7O4,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3760>
12,NCC1=CC=C(NC2=NC(NC3=CC=CC=C3)=C(F)C=N2)C=C1,C17H16FN5,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a36f0>
13,CC1CCCCN1C1=NC=NC2=CC=CC=C12,C14H17N3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3680>
14,CC#CC(=O)NC1=CC2=C(NC3=CC=CC(Br)=C3)N=CN=C2C=C1,C18H13BrN4O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3610>
15,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)N=CC=C1,C13H9F3N2O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a35a0>
16,NC1=NC2=CC(NC(=O)CCCC(O)=O)=CC=C2N1,C12H14N4O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3530>
17,NC1=NC2=CC(NC(=O)CCCC(O)=O)=CC=C2N1,C12H14N4O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a34c0>
18,OCC1=CC2=NC=NC(NC3=CC=C(O)C=C3)=C2C=C1CO,C16H15N3O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3450>
19,CN(C)C1=CC=C(NC2=NC=NC3=CC=C(Br)C=C23)C=C1,C16H15BrN4,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a33e0>
20,CC1=CC(NC(=O)CCC(O)=O)=CC=C1,C11H13NO3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3370>
21,CN1CCC(c2ccc(-c3ccc4ncn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3F)cc2)CC1                    ,C31H28FN5O2S,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3300>
22,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1                        ,C26H32N6O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3290>
23,CCc1cc(Nc2ncc(Br)c(Nc3ccn4ncnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CC)CC2)CC1            ,C32H44BrN10O2P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3220>
24,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1                            ,C29H31N7O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a31b0>
25,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(N(C)C)C2)CC1           ,C33H43BrN9O2P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3140>
26,CN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1                                      ,C20H18Cl2FN5O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a30d0>
27,COc1cc(N2CCC(N3CC[C@H](N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1     ,C33H45BrN7O4P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a3060>
28,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO                                    ,C23H23ClFN7O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2ff0>
29,O=C(CCl)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1                                                    ,C16H12ClIN4O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2f80>
30,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N                                                          ,C14H12BrN5,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2f10>
31,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1                                                           ,C13H10BrN5,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2ea0>
32,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1                                                          ,C14H12BrN5,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2e30>
33,COc1cc(N2CCC(N3CCCOCC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1              ,C32H42BrN6O5P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2dc0>
34,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21                            ,C26H27ClFN5O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2d50>
35,CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(COC)C2)CC1           ,C33H44BrN6O5P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2ce0>
36,COc1ccc(-c2cc(=O)cc(-c3ccc(OC)cc3)o2)cc1                                                 ,C19H16O4,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2c70>
